,datePublished,ticker,title,description
0,2020-06-23T13:22:54Z,NASDAQ,Luckin Coffee discloses that the Nasdaq really wants it gone,"It’s the company that just can’t catch a break! In a new SEC filing this morning Luckin Coffee, the embattled China-based and American-listed coffee chain that has become embroiled in scandal, announced that the Nasdaq really wants it gone. According to the f…"
1,2020-06-26T21:40:09Z,NASDAQ,"Luckin Coffee’s board is forcing out its chairman (also, chairman is forcing out the rest of the board)","Sometimes you can’t just get a [L]uckin’ break. After announcing this morning that it is ending its fight to stay listed on Nasdaq, China-based coffee chain and delivery company Luckin Coffee announced that it is requiring that its chairman, Lu Zhengyao, resi…"
2,2020-06-24T14:14:16Z,NASDAQ,Unpacking the nCino and GoHealth IPO filings,"Expect more as companies try to thread the needle and get out while the Nasdaq is over 10,000."
3,2020-06-23T12:36:00Z,NASDAQ,Luckin gets another de-listing notice from Nasdaq - Reuters,Luckin Coffee Inc disclosed on Tuesday it received a de-listing notice from the Nasdaq Inc last week after the Chinese coffee chain failed to file its annual report.
4,2020-07-02T21:29:00Z,NASDAQ,BRIEF-miRagen Regains Compliance With NASDAQ Listing Requirements - Reuters,BRIEF-miRagen Regains Compliance With NASDAQ Listing Requirements  Reuters
5,2020-06-23T22:49:01Z,NASDAQ,"Economic hope, tech love lift Nasdaq to record - Reuters",Tech stocks continued to outshine the broader market amid widespread hopes the worst is over for the economy.  Conway G. Gittens has the numbers.
6,2020-07-01T21:51:07Z,NASDAQ,"S&P, Nasdaq rally on vaccination hopes - Reuters UK",The S&P 500 and Nasdaq closed higher Wednesday to kick off the third quarter as increasing optimism for a safe and effective COVID-19 vaccine eased concerns that another round of business lockdowns was likely. Fred Katayama reports.
7,2020-06-10T15:39:33Z,NASDAQ,"Tesla is ready to mass-produce the Semi, Elon Musk says","For years, Elon Musk has been touting the Tesla Semi, an electric big-rig meant for hauling cargo. Now, in an email to staff, Musk said it’s time to prepare the Tesla Semi for “volume production.”“It’s time to go all out and bring the Tesla Semi to volume pro…"
8,2020-06-23T21:46:00Z,NASDAQ,BRIEF-Amryt Pharma Says Publicly Files Registration Statement For Impending U.S. Listing On Nasdaq - Reuters,BRIEF-Amryt Pharma Says Publicly Files Registration Statement For Impending U.S. Listing On Nasdaq  Reuters
9,2020-07-06T14:54:00Z,NASDAQ,BRIEF-NextCell Pharma To Change List To Nasdaq First North - Reuters,BRIEF-NextCell Pharma To Change List To Nasdaq First North  Reuters
10,2020-07-06T11:19:00Z,NASDAQ,BRIEF-Verastem Oncology Announces Inducement Grants Under Nasdaq Listing Rule - Reuters,BRIEF-Verastem Oncology Announces Inducement Grants Under Nasdaq Listing Rule  Reuters
11,2020-07-01T01:40:00Z,NASDAQ,BRIEF-Avita Medical Says Co's U.S. Shares Of Common Stock Commenced Trading On Nasdaq Stock Market - Reuters,BRIEF-Avita Medical Says Co's U.S. Shares Of Common Stock Commenced Trading On Nasdaq Stock Market  Reuters
12,2020-07-02T22:34:00Z,NASDAQ,BRIEF-Sun BioPharma Applies To List Shares Of Common Stock On NASDAQ Capital Market Under Symbol 'SNBP' - Reuters,BRIEF-Sun BioPharma Applies To List Shares Of Common Stock On NASDAQ Capital Market Under Symbol 'SNBP'  Reuters
13,2020-06-23T22:47:00Z,NASDAQ,BRIEF-Amryt Pharma Files Preliminary Prospectus Related To Listing Of 32.6 Mln ADSS On The Nasdaq - Reuters,BRIEF-Amryt Pharma Files Preliminary Prospectus Related To Listing Of 32.6 Mln ADSS On The Nasdaq  Reuters
14,2020-07-07T00:40:00Z,NASDAQ,BRIEF-Tenax Therapeutics Announces $8 Mln Registered Direct And Pipe Offerings Priced At-The-Market Under Nasdaq Rules - Reuters,BRIEF-Tenax Therapeutics Announces $8 Mln Registered Direct And Pipe Offerings Priced At-The-Market Under Nasdaq Rules  Reuters
15,2020-06-24T15:33:00Z,NASDAQ,COLUMN-Runaway Nasdaq: A reason for caution is in the charts - Reuters,"Since hitting intraday lows on
March 23, the Nasdaq Composite index has rebounded and
pulled ahead of the S&P 500, but a technical market
analysis suggests that the tech-laden index may be vulnerable to
a deep retreat. 
    Investors have piled into big techn…"
