Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,211.460007,215.449997,211.119995,215.220001,214.846390,32841000
2020-05-05,217.440002,220.139999,216.850006,217.660004,217.282150,37783100
2020-05-06,219.399994,221.039993,218.110001,219.000000,218.619812,36455200
2020-05-07,221.820007,222.729996,220.419998,221.820007,221.434937,38624800
2020-05-08,223.619995,225.000000,222.479996,224.860001,224.469650,31964400
2020-05-11,223.490005,227.929993,223.250000,226.869995,226.476151,35714100
2020-05-12,227.490005,228.100006,222.089996,222.119995,221.734406,41054100
2020-05-13,222.660004,224.610001,216.710007,219.339996,218.959229,65521200
2020-05-14,217.970001,221.869995,215.990005,221.830002,221.444916,51549300
2020-05-15,218.779999,223.330002,218.330002,223.270004,222.882416,55747200
2020-05-18,226.330002,228.679993,225.470001,227.429993,227.035172,42597600
2020-05-19,227.699997,229.850006,226.710007,226.860001,226.466171,36237300
2020-05-20,229.500000,231.759995,229.479996,231.389999,230.988312,37417000
2020-05-21,231.440002,232.139999,228.339996,228.869995,228.472687,43642900
2020-05-22,228.449997,229.869995,227.500000,229.660004,229.261322,28762400
2020-05-26,233.360001,233.570007,228.789993,229.039993,228.642380,33055300
2020-05-27,228.690002,230.410004,223.940002,230.289993,229.890213,55665600
2020-05-28,229.110001,233.470001,229.050003,229.990005,229.590744,42784300
2020-05-29,230.380005,233.600006,228.759995,233.360001,232.954895,50878600
2020-06-01,232.460007,234.449997,232.000000,234.059998,233.653671,25776000
2020-06-02,234.500000,235.690002,232.009995,235.630005,235.220947,33383400
2020-06-03,236.259995,237.470001,235.350006,236.690002,236.279114,37228700
2020-06-04,236.330002,237.789993,233.679993,235.029999,234.621994,38716100
2020-06-05,236.220001,240.300003,235.630005,239.690002,239.273911,47365600
2020-06-08,239.539993,241.679993,237.910004,241.550003,241.130676,32937300
2020-06-09,240.660004,244.179993,240.470001,243.300003,242.877640,35046300
2020-06-10,245.050003,247.820007,244.509995,246.220001,245.792572,58084400
2020-06-11,242.160004,243.589996,233.960007,234.020004,233.613754,72919400
2020-06-12,239.139999,240.399994,231.740005,235.880005,235.470520,71903600
2020-06-15,232.440002,239.449997,231.470001,238.750000,238.335541,45307400
2020-06-16,243.779999,244.389999,239.100006,242.850006,242.428421,48890100
2020-06-17,244.399994,245.500000,242.729996,243.619995,243.197067,34560100
2020-06-18,243.289993,244.529999,242.490005,244.279999,243.855927,30578600
2020-06-19,246.729996,247.000000,242.449997,244.240005,243.816010,49422100
2020-06-22,243.679993,246.869995,243.380005,246.740005,246.740005,24068700
2020-06-23,248.389999,251.149994,247.820007,248.839996,248.839996,32767400
2020-06-24,248.059998,249.330002,242.160004,243.710007,243.710007,46032400
2020-06-25,243.800003,246.339996,241.139999,246.029999,246.029999,36940800
2020-06-26,245.779999,245.960007,239.679993,240.220001,240.220001,52824600
2020-06-29,239.970001,242.850006,237.350006,242.839996,242.839996,34377800
2020-06-30,242.770004,248.160004,242.580002,247.600006,247.600006,38909200
2020-07-01,247.660004,251.520004,247.080200,250.490005,250.490005,34689213
